"时间","非耕地经风蚀进入大气的磷量","海洋飞沫进入大气的磷量","农业种植经风蚀进入大气的磷量","N2大气沉降","N3大气沉降","N4大气沉降","N7大气沉降"
"1811","310045.1499","4333.083333","22275.67631","239034.881324","3494","57280.25000000001","17471.118676"
"1812","310045.1499","4333.083333","22322.11251","238998.46077799998","3494","57280.25000000001","17507.539222000003"
"1813","310045.1499","4333.083333","22367.67763","238962.723426","3494","57280.25000000001","17543.276574"
"1814","310045.1499","4333.083333","22412.31933","238927.71033200005","3494","57280.25000000001","17578.289668"
"1815","310045.1499","4333.083333","22455.98524","238893.46255999993","3494","57280.25000000001","17612.53744"
"1816","310045.1499","4333.083333","22498.62301","238860.02117","3494","57280.25000000001","17645.97883"
"1817","310045.1499","4333.083333","22540.18029","238827.42722800002","3494","57280.25000000001","17678.572772000003"
"1818","310045.1499","4333.083333","22580.60471","238795.72179399998","3494","57280.25000000001","17710.278206000003"
"1819","310045.1499","4333.083333","22619.84394","238764.94593200003","3494","57280.25000000001","17741.054068"
"1820","310045.1499","4333.083333","22657.8456","238735.140706","3494","57280.25000000001","17770.859294"
"1821","310045.1499","4333.083333","22694.55735","238706.347178","3494","57280.25000000001","17799.652822"
"1822","310045.1499","4333.083333","22729.92683","238678.60640999992","3494","57280.25000000001","17827.39359"
"1823","310045.1499","4333.083333","22763.90168","238651.959466","3494","57280.25000000001","17854.040534"
"1824","310045.1499","4333.083333","22796.42955","238626.44741","3494","57280.25000000001","17879.55259"
"1825","310045.1499","4333.083333","22827.45809","238602.11130200003","3494","57280.25000000001","17903.888698"
"1826","310045.1499","4333.083333","22856.93494","238578.992206","3494","57280.25000000001","17927.007794"
"1827","310045.1499","4333.083333","22884.80774","238557.13118400003","3494","57280.25000000001","17948.868816000002"
"1828","310045.1499","4333.083333","22911.02414","238536.56930200002","3494","57280.25000000001","17969.430698"
"1829","310045.1499","4333.083333","22935.53178","238517.34762000002","3494","57280.25000000001","17988.65238"
"1830","310045.1499","4333.083333","22958.27832","238499.507202","3494","57280.25000000001","18006.492798"
"1831","310045.1499","4333.083333","22979.21139","238483.08911","3494","57280.25000000001","18022.910890000003"
"1832","310045.1499","4333.083333","22998.27863","238468.134406","3494","57280.25000000001","18037.865594"
"1833","310045.1499","4333.083333","23015.4277","238454.68415599997","3494","57280.25000000001","18051.315844"
"1834","310045.1499","4333.083333","23030.60624","238442.77942200002","3494","57280.25000000001","18063.220578"
"1835","310045.1499","4333.083333","23043.78678","238432.44174000004","3494","57280.25000000001","18073.558259999998"
"1836","310045.1499","4333.083333","23055.04144","238423.614556","3494","57280.25000000001","18082.385444"
"1837","310045.1499","4333.083333","23064.46722","238416.221788","3494","57280.25000000001","18089.778211999997"
"1838","310045.1499","4333.083333","23072.16112","238410.187356","3494","57280.25000000001","18095.812644"
"1839","310045.1499","4333.083333","23078.22015","238405.43517799999","3494","57280.25000000001","18100.564822000004"
"1840","306645.15","4333.083333","23082.7413","238401.889172","3494","57280.25000000001","18104.110827999997"
"1841","306645.15","4333.083333","23085.82159","238399.47326000003","3494","57280.25000000001","18106.526740000005"
"1842","306645.15","4333.083333","23087.55801","238398.11136","3494","57280.25000000001","18107.888639999997"
"1843","306645.15","4333.083333","23088.04758","238397.72739199997","3494","57280.25000000001","18108.272608"
"1844","306645.15","4333.083333","23087.38728","238398.245272","3494","57280.25000000001","18107.754728"
"1845","306645.15","4333.083333","23085.67412","238399.588924","3494","57280.25000000001","18106.411076"
"1846","306645.15","4333.083333","23083.00512","238401.68226200002","3494","57280.25000000001","18104.317738"
"1847","306645.15","4333.083333","23079.47726","238404.449208","3494","57280.25000000001","18101.550792000002"
"1848","306645.15","4333.083333","23075.18756","238407.81368","3494","57280.25000000001","18098.18632"
"1849","306645.15","4333.083333","23070.23301","238411.699598","3494","57280.25000000001","18094.300401999997"
"1850","306645.15","4333.083333","23064.71063","238416.030882","3494","57280.25000000001","18089.969118"
"1851","306645.15","4333.083333","23058.7174","238420.73145","3494","57280.25000000001","18085.26855"
"1852","306645.15","4333.083333","23052.35034","238425.72522","3494","57280.25000000001","18080.27478"
"1853","306645.15","4333.083333","23045.70646","238430.93611200005","3494","57280.25000000001","18075.063888"
"1854","306645.15","4333.083333","23038.88274","238436.288046","3494","57280.25000000001","18069.711954"
"1855","306645.15","4333.083333","23031.9762","238441.704942","3494","57280.25000000001","18064.295058"
"1856","306645.15","4333.083333","23025.08384","238447.110716","3494","57280.25000000001","18058.889284"
"1857","306645.15","4333.083333","23018.30266","238452.42928799996","3494","57280.25000000001","18053.570712000004"
"1858","306645.15","4333.083333","23011.72966","238457.584578","3494","57280.25000000001","18048.415422000002"
"1859","306645.15","4333.083333","23005.46185","238462.50050600004","3494","57280.25000000001","18043.499494"
"1860","306645.15","4333.083333","22999.59624","238467.10099000004","3494","57280.25000000001","18038.89901"
"1861","306645.15","4333.083333","22994.22981","238471.30994999997","3494","57280.25000000001","18034.69005"
"1862","306645.15","4333.083333","22989.45959","238475.051304","3494","57280.25000000001","18030.948696"
"1863","306645.15","4333.083333","22985.38256","238478.24897000002","3494","57280.25000000001","18027.75103"
"1864","306645.15","4333.083333","22982.09628","238480.82645","3494","57280.25000000001","18025.173550000003"
"1865","306645.15","4333.083333","22979.7004","238482.705568","3494","57280.25000000001","18023.294432"
"1866","306645.15","4333.083333","22978.29515","238483.80772799999","3494","57280.25000000001","18022.192272"
"1867","306645.15","4333.083333","22977.98073","238484.05433200003","3494","57280.25000000001","18021.945668"
"1868","306645.15","4333.083333","22978.85735","238483.366786","3494","57280.25000000001","18022.633214"
"1869","306645.15","4333.083333","22981.02522","238481.66649400003","3494","57280.25000000001","18024.333506000003"
"1870","306645.15","4333.083333","22984.58455","238478.87485999995","3494","57280.25000000001","18027.125140000004"
"1871","306645.15","4333.083333","22989.63556","238474.91329000003","3494","57280.25000000001","18031.08671"
"1872","306645.15","4333.083333","22996.27844","238469.70318600003","3494","57280.25000000001","18036.296814"
"1873","306645.15","4333.083333","23004.61341","238463.165954","3494","57280.25000000001","18042.834046"
"1874","306645.15","4333.083333","23014.74068","238455.222998","3494","57280.25000000001","18050.777002"
"1875","306645.15","4333.083333","23026.76045","238445.795722","3494","57280.25000000001","18060.204278"
"1876","306645.15","4333.083333","23040.77295","238434.80553","3494","57280.25000000001","18071.194470000002"
"1877","306645.15","4333.083333","23056.87837","238422.17382600004","3494","57280.25000000001","18083.826174"
"1878","306645.15","4333.083333","23075.17693","238407.82201600002","3494","57280.25000000001","18098.177983999998"
"1879","306645.15","4333.083333","23095.76884","238391.671502","3494","57280.25000000001","18114.328498000003"
"1880","306645.15","4333.083333","23118.7543","238373.64369","3494","57280.25000000001","18132.356310000003"
"1881","306645.15","4333.083333","23144.23352","238353.659984","3494","57280.25000000001","18152.340016000002"
"1882","306645.15","4333.083333","23172.30672","238331.641786","3494","57280.25000000001","18174.358214"
"1883","306645.15","4333.083333","23203.07411","238307.51050600002","3494","57280.25000000001","18198.489494"
"1884","306645.15","4333.083333","23236.63588","238281.187542","3494","57280.25000000001","18224.812458"
"1885","306645.15","4333.083333","23273.09227","238252.594302","3494","57280.25000000001","18253.405698000002"
"1886","306645.15","4333.083333","23312.54346","238221.652188","3494","57280.25000000001","18284.347812"
"1887","306645.15","4333.083333","23355.08968","238188.28260799995","3494","57280.25000000001","18317.717392000002"
"1888","306645.15","4333.083333","23400.83112","238152.40696199998","3494","57280.25000000001","18353.593038"
