"时间","出口消费品","进入废水处理系统废水磷量","进入内陆水体废水磷量","固废磷量","饲料用于水产养殖磷量 ","饲料用于畜禽养殖磷磷量 平衡N8","磷副产品还田量","居民消费食物磷含量","非食品消费磷量"
"1847","0.0523902031968","0","0.08721581285595999","-0.08624921256844","0","0","0.0961284114","2.309098183579702","0"
"1848","0.0526126921656","0","0.0875861627134","-0.08661956242588001","0","0","0.0961284114","2.3163923393758457","0"
"1849","0.052798261572","0","0.08789505713551998","-0.08692845684799999","0","0","0.0961284114","2.322476111232453","0"
"1850","0.052986745694400005","0","0.08820880329753998","-0.08724220301001999","0","0","0.0961284114","2.328655439573501","0"
"1851","0.0532287874608","0","0.08861170028285999","-0.08764509999534","0","0","0.0961284114","2.336590620492038","0"
"1852","0.05339334672","0","0.08888562170652","-0.087919021419","0","0","0.0961284114","2.3419855882513247","0"
"1853","0.052800204710400006","0","0.08789829162813999","-0.08693169134062","0","0","0.0961284114","2.322539815518834","0"
"1854","0.052669771761599996","0","0.0876811760647","-0.08671457577718","0","0","0.0961284114","2.3182636554420393","0"
"1855","0.052265599646400006","0","0.08700840077064","-0.08604180048312","0","0","0.0961284114","2.305013137942833","0"
"1856","0.051722371932","0","0.08610415682592","-0.08513755653840001","0","0","0.0961284114","2.287203771025442","0"
"1857","0.0514997614992","0","0.08573360483877998","-0.08476700455125999","0","0","0.0961284114","2.279905633553289","0"
"1858","0.0513428533296","0","0.08547241922089999","-0.08450581893338","0","0","0.0961284114","2.27476150294287","0"
"1859","0.051346496712000006","0","0.08547848391422001","-0.08451188362670002","0","0","0.0961284114","2.2748809482453836","0"
"1860","0.0507603985728","0","0.08450287888926","-0.08353627860174001","0","0","0.0961284114","2.255666104065546","0"
"1861","0.0501093268368","0","0.08341912041236","-0.08245252012484001","0","0","0.0961284114","2.234321141853216","0"
"1862","0.049413077229600005","0","0.08226015987109998","-0.08129355958357999","0","0","0.0961284114","2.211495054462151","0"
"1863","0.048305004384000004","0","0.08041568822742","-0.0794490879399","0","0","0.0961284114","2.175167610266939","0"
"1864","0.0469981245384","0","0.07824028717074","-0.07727368688322","0","0","0.0961284114","2.1323224086280144","0"
"1865","0.044911075927200006","0","0.07476623574498","-0.07379963545746","0","0","0.0961284114","2.0638998837170215","0"
"1866","0.043790129829600004","0","0.0729003355345","-0.07193373524698","0","0","0.0961284114","2.0271503984407553","0"
"1867","0.0436985595816","0","0.07274790989789999","-0.07178130961038","0","0","0.0961284114","2.024148327815389","0"
"1868","0.043604924748","0","0.07259204760462","-0.07162544731710001","0","0","0.0961284114","2.021078571276052","0"
"1869","0.04356448325040001","0","0.07252472964323999","-0.07155812935572","0","0","0.0961284114","2.019752723188677","0"
"1870","0.043445587668","0","0.07232681887181999","-0.0713602185843","0","0","0.0961284114","2.015854809183521","0"
"1871","0.043464047457599984","0","0.07235754659029998","-0.07139094630277999","0","0","0.0961284114","2.0164600011393055","0"
"1872","0.043510196923200004","0","0.07243436590168","-0.07146776561416","0","0","0.0961284114","2.0179729809924667","0"
"1873","0.043605046195199997","0","0.07259224976968","-0.07162564948216","0","0","0.0961284114","2.0210825528344194","0"
"1874","0.0436820429304","0","0.07272041667304001","-0.07175381638552002","0","0","0.0961284114","2.023606840326943","0"
"1875","0.0439027102248","0","0.07308773420256","-0.07212113391504","0","0","0.0961284114","2.030841273197317","0"
"1876","0.0440435875152","0","0.07332223518188","-0.07235563489436","0","0","0.0961284114","2.035459843322894","0"
"1877","0.0442115472624","0","0.07360181696873999","-0.07263521668122","0","0","0.0961284114","2.0409662938176294","0"
"1878","0.0443010529248","0","0.07375080598266","-0.07278420569514","0","0","0.0961284114","2.043900678563268","0"
"1879","0.0444754493064","0","0.07404110203584","-0.07307450174832","0","0","0.0961284114","2.0496181498876713","0"
"1880","0.0445734561888","0","0.07420424197165999","-0.07323764168414","0","0","0.0961284114","2.0528312413427057","0"
"1881","0.0447433590744","0","0.07448705825214","-0.07352045796462","0","0","0.0961284114","2.058401396327485","0"
"1882","0.0446754707952","0","0.07437405302487998","-0.07340745273735999","0","0","0.0961284114","2.0561757233134905","0"
"1883","0.0447360723096","0","0.0744749289037","-0.07350832861618001","0","0","0.0961284114","2.058162504769464","0"
"1884","0.044969977214400006","0","0.07486428142493999","-0.07389768113742","0","0","0.0961284114","2.0658309239173276","0"
"1885","0.0451951380048","0","0.07523907869206001","-0.07427247840454002","0","0","0.0961284114","2.073212673104619","0"
"1886","0.0454329291696","0","0.0756349001989","-0.07466829991138","0","0","0.0961284114","2.0810085011149297","0"
"1887","0.0455972455344","0","0.07590841732844","-0.07494181704092001","0","0","0.0961284114","2.0863955058922907","0"
"1888","0.0458463311712","0","0.07632303933327998","-0.07535643904575999","0","0","0.0961284114","2.0945616157012172","0"
"1889","0.046033236479999996","0","0.07663415745991999","-0.0756675571724","0","0","0.0961284114","2.1006891842787354","0"
"1890","0.0462266998872","0","0.07695619205367998","-0.07598959176615999","0","0","0.0961284114","2.1070317553280553","0"
"1891","0.0464301218472","0","0.07729480340518","-0.07632820311766","0","0","0.0961284114","2.113700811371314","0"
"1892","0.0466428951408","0","0.07764898076315997","-0.07668238047563998","0","0","0.0961284114","2.1206764450378053","0"
"1893","0.0468833581272","0","0.07804924971567997","-0.07708264942815998","0","0","0.0961284114","2.128559866573705","0"
"1894","0.0471551541552","0","0.07850167491757999","-0.07753507463006","0","0","0.0961284114","2.1374705218417227","0"
"1895","0.0473118194304","0","0.07876245620643998","-0.07779585591891999","0","0","0.0961284114","2.1426066903918644","0"
"1896","0.0475819152144","0","0.07921205120873999","-0.07824545092122","0","0","0.0961284114","2.151461604286574","0"
"1897","0.0478822510488","0","0.07971198308665998","-0.07874538279913999","0","0","0.0961284114","2.1613079182033967","0"
"1898","0.0481450600848","0","0.08014944874225999","-0.07918284845474","0","0","0.0961284114","2.16992394058097","0"
"1899","0.0483617196552","0","0.08051009508648001","-0.07954349479896002","0","0","0.0961284114","2.1770269829896436","0"
"1900","0.0485783792256","0","0.08087112466806","-0.07980489157718","0","0","0.1005514977","2.211347185955935","0"
"1901","0.048925340956800005","0","0.08144866889452","-0.08038243580364","0","0","0.1005514977","2.2227221002786384","0"
"1902","0.049272302687999994","0","0.08202621311997998","-0.08095998002909999","0","0","0.1005514977","2.2340970136101026","0"
"1903","0.049619264419200004","0","0.08260375738254001","-0.08153752429166002","0","0","0.1005514977","2.2454719270569363","0"
