时间,牧草2,风蚀,木材,渗滤径流,矿石
1880,76540.79999999999,303926.39559000003,0,363519.8064899999,0
1881,76540.79999999999,303900.9165,0,363489.3315,0
1882,76540.79999999999,303872.8432949999,0,363455.753745,0
1883,76540.79999999999,303842.07601499994,0,363418.9536649999,0
1884,76540.79999999999,303808.51418999996,0,363378.81109,0
1885,76540.79999999999,303772.05786,0,363335.20645999996,0
1886,76540.79999999999,303732.606555,0,363288.019605,0
1887,76540.79999999999,303690.060315,0,363237.130965,0
1888,76540.79999999999,303644.31892499997,0,363182.420675,0
1889,76540.79999999999,303595.28191500006,0,363123.7685649999,0
1890,76540.79999999999,303542.849325,0,363061.05507500004,0
1891,76540.79999999999,303486.92093999987,0,362994.16034,0
1892,76540.79999999999,303427.39654499997,0,362922.9644949999,0
1893,76540.79999999999,303364.23482999986,0,362847.41813,0
1894,76540.79999999999,303297.62959500006,0,362767.753045,0
1895,76540.79999999999,303227.83431,0,362684.27241000003,0
1896,76540.79999999999,303155.101935,0,362597.278785,0
1897,76540.79999999999,303079.68568500003,0,362507.0750349999,0
1898,76540.79999999999,303001.838265,0,362413.9634149999,0
1899,76540.79999999999,302921.81289,0,362318.24679,0
1900,83885.33999999998,302839.8625200001,0,362220.22772,0
1901,83885.33999999998,302756.24062500003,0,362120.209375,0
1902,83885.33999999998,302671.19990999997,0,362018.49400999997,0
1903,83885.33999999998,302584.993335,0,361915.384185,0
1904,83885.33999999998,302497.874115,0,361811.18276500003,0
1905,83885.33999999998,302410.09546499996,0,361706.192615,0
1906,83885.33999999998,302321.91034500004,0,361600.716295,0
1907,83885.33999999998,302233.57145999995,0,361495.0560599999,0
1908,83885.33999999998,302145.33228,0,361389.51508,0
1909,83885.33999999998,302057.44602,0,361284.39621999994,0
1910,83885.33999999998,301970.16513,0,361180.00142999995,0
1911,83885.33999999998,301883.7430799999,0,361076.63388,0
1912,235333.413,264160.43283,0,315956.59612999996,0
1913,235333.413,264076.487595,0,315856.191045,0
1914,235333.413,263994.16008,0,315757.72088000004,0
1915,235333.413,263913.703755,0,315661.48880500003,0
1916,235333.413,263835.371325,0,315567.79707500007,0
1917,235333.413,263759.416005,0,315476.94855499995,0
